"자치구","안심 주소","CCTV 용도","위도","경도","CCTV 수량","수정 일시"
"용산구","(보광로25길 5 이레공인중개사 안쪽 골목)","방범","37.52835","126.998403","1","2021-10-28"
"용산구","(이태원동 241-2 가야랑 버스승차장 앞)","불법주정차","37.540205","126.994017","3","2021-10-28"
"용산구","(보광로25길 5 (보광동 231-122) 이레공인중개사 안쪽 골목)","방범","37.52835","126.998403","1","2021-10-28"
"용산구","(용산2가동 1-460 (후암동 409-54))","미세먼지","37.546944","126.983996","1","2019-12-12"
"용산구","((이촌동) 삼성렉스아파트)","도심공원","37.517434","126.981411","4","2019-12-12"
"용산구","(이촌동 429 사촌소공원)","도심공원","37.520706","126.970645","1","2019-12-12"
"용산구","(이촌동 408 강변공원)","도심공원","37.521536","126.975222","1","2019-12-12"
"용산구","(LG U+ 사옥 옆 공원)","도심공원","37.524167","126.963536","1","2019-12-12"
"용산구","가(LG U+ 사옥 옆 공원)","도심공원","37.524205","126.963461","1","2019-12-12"
"용산구","나(LG U+ 사옥 옆 공원)","도심공원","37.524205","126.963461","1","2019-12-12"
"용산구","(이촌동 206-1 새싹 어린이집 앞 공원)","도심공원","37.526856","126.954504","2","2019-12-12"
"용산구","(보광동 231-17 달맞이 어린이공원)","도심공원","37.528031","126.998009","1","2019-12-12"
"용산구","(보광동 231-17 달맞이어린이공원)","도심공원","37.528031","126.998009","1","2019-12-12"
"용산구","(원효로4가 87-2 문화원정자마당)","도심공원","37.533638","126.951915","1","2019-12-12"
"용산구","(용산동3가 1-96 삼각지 어린이공원내)","도심공원","37.534293","126.975650","2","2019-12-12"
"용산구","(원효로3가 1-139 원효어린이집 앞 늘푸른공원내)","도심공원","37.534791","126.95667539","2","2019-12-12"
"용산구","(이태원동 191-3 이태원부군당역사공원내)","도심공원","37.536002","126.989697","5","2019-12-12"
"용산구","(한남동 738-9 어린이놀이터)","도심공원","37.536565","126.999530","1","2019-12-12"
"용산구","(한남동 738-9 어린이놀이터)","도심공원","37.536631","126.999567","1","2019-12-12"
"용산구","(문배동 24-1 문배어린이공원)","도심공원","37.536743","126.969824","1","2019-12-12"
"용산구","(도원동21 도원어린이공원)","도심공원","37.537060","126.954373","1","2019-12-12"
"용산구","(이태원동 286-1 이태원어린이공원)","도심공원","37.537975","126.989215","3","2019-12-12"
"용산구","(이태원동 286-1 이태원어린이공원)","도심공원","37.538209","126.989052","1","2019-12-12"
"용산구","(KCC(달님공원))","도심공원","37.538257","126.969565","1","2019-12-12"
"용산구","(문배동 7-32 달님공원내 이안아파트 출입구 공원등1)","도심공원","37.538298","126.969637","1","2019-12-12"
"용산구","(KCC(달님공원))","도심공원","37.538320","126.969517","1","2019-12-12"
"용산구","(문배동 7-32 달님공원내 쉼터 옆 공원등2)","도심공원","37.538413","126.969561","1","2019-12-12"
"용산구","(문배동 7-32 달님공원내 입구 공원등3)","도심공원","37.538504","126.969537","1","2019-12-12"
"용산구","(원효로1가 119-2 해님공원내 도로 입구)","도심공원","37.539321","126.970091","1","2019-12-12"
"용산구","(원효로1가 119-2 해님공원내 쉼터 옆)","도심공원","37.539335","126.969993","1","2019-12-12"
"용산구","(원효로1가 119-2 해님공원내 이안아파트 출입구)","도심공원","37.5393427","126.970065","1","2019-12-12"
"용산구","(원효로1가 119-2 해님공원내 더프라임아파트 입구 공원등)","도심공원","37.539362","126.970014","1","2019-12-12"
"용산구","(이태원동 258-467 라틴아메리카공원)","도심공원","37.540678","126.997142","1","2019-12-12"
"용산구","(이태원동 260-87 이태원마을숲소공원)","도심공원","37.541284","126.991633","1","2019-12-12"
"용산구","(청파동 119-12 돌모루 어린이 공원입구)","도심공원","37.542752","126.968315","2","2019-12-12"
"용산구","(청파동 119-4 돌모루 어린이 공원내)","도심공원","37.542946","126.968664","4","2019-12-12"
"용산구","(용산동2가 1-1923 남산3호터널 지하보도 내려가는길)","도심공원","37.543297","126.988605","1","2019-12-12"
"용산구","(용산동2가 1-1923 용암초교 앞 마을마당)","도심공원","37.543431","126.988728","1","2019-12-12"
"용산구","(청파3가 117-1 선린공원게이트볼장)","도심공원","37.543558","126.966096","1","2019-12-12"
"용산구","(청파3가 117-1 선린공원산책로)","도심공원","37.543558","126.966096","1","2019-12-12"
"용산구","(용산동2가 1-1414 후암동 외국인학교 옆 공원)","도심공원","37.545013","126.984425","3","2019-12-12"
"용산구","(용산동2가 1-1414 후암동 외국인학교 옆 공원)","도심공원","37.545252","126.984445","1","2019-12-12"
"용산구","(용산동2가 5-1647 소월길 주민쉼터)","도심공원","37.545593","126.987729","1","2019-12-12"
"용산구","(후암로13가길 25 새나라공원)","도심공원","37.548053","126.976501","3","2019-12-12"
"용산구","(후암로13가길 25 새나라공원)","도심공원","37.548155","126.976278","4","2019-12-12"
"용산구","(동자동 24-11 (한강대로104길 30-4))","도심공원","37.550132","126.973862","1","2019-12-12"
"용산구","(만리재로24가길 11)","도심공원","37.551337","126.964505","2","2019-12-12"
"용산구","(서계동 276-7 서계가로공원)","도심공원","37.551345","126.964234","1","2019-12-12"
"용산구","(동자동 18-58 센트리빌아파트 공원내(두텁바위어린이공원))","도심공원","37.551957","126.973237","1","2019-12-12"
"용산구","(동자동 14-103 센트리빌아파트 공원내(두텁바위어린이공원))","도심공원","37.551992","126.972829","1","2019-12-12"
"용산구","(동자동 18-21 센트리빌아파트 공원내(두텁바위어린이공원))","도심공원","37.552277","126.974387","1","2019-12-12"
"용산구","(새꿈어린이공원)","도심공원","37.552277","126.974387","2","2019-12-12"
"용산구","(동자동 8-3 새꿈공원앞 하단부)","도심공원","37.552417","126.974189","2","2019-12-12"
"용산구","(청파 어린이공원안)","도심공원","37.553575","126.968031","2","2019-12-12"
"용산구","(청파어린이공원안)","도심공원","37.553826","126.967741","1","2019-12-12"
"용산구","(용산동6가 69-163 이촌지하보도 입구)","방범","37.517098","126.983527","1","2019-12-12"
"용산구","(서빙고동 241-21 신동아아파트 후문)","방범","37.517315","126.989508","1","2019-12-12"
"용산구","(서빙고동241-21 신동아아파트 후문)","방범","37.517315","126.989508","1","2019-12-12"
"용산구","(이촌동 300-10 점보아파트 뒤 주차장 중간)","방범","37.517632","126.979170","1","2019-12-12"
"용산구","(용산동6가 69-163 쌍용양회전시장 옆 공원)","방범","37.517662","126.983612","2","2019-12-12"
"용산구","(용산동6가 69-163 쌍용종합전시관 옆 공원)","방범","37.517662","126.983612","1","2019-12-12"
"용산구","(용산동6가 69-11 이촌지하보도 내)","방범","37.517756","126.983184","3","2019-12-12"
"용산구","(이촌동 300-10 점보아파트 후문 경비초소 옆)","방범","37.517838","126.978534","1","2019-12-12"
"용산구","(이촌동 301-163 금강아산병원 앞)","방범","37.517846","126.981559","1","2019-12-12"
"용산구","(이촌동 301-176 동작대교 밑 (반도 앞))","방범","37.517886","126.982848","1","2019-12-12"
"용산구","18차 (이촌동 301-176 동작대교 밑 (반도 앞))","방범","37.517886","126.982848","1","2019-12-12"
"용산구","(서빙고동 241-96 온누리교회 입구)","방범","37.517889","126.985426","1","2019-12-12"
"용산구","(용산동6가 69-11 동작대교 밑 주차장 내)","방범","37.517945","126.98307","1","2019-12-12"
"용산구","(용산동6가 69-11 동작대교 밑 주차장 내)","방범","37.517945","126.98307","3","2019-12-12"
"용산구","(이촌동 301-2 왕궁맨션 1동 정문 앞)","방범","37.518019","126.977997","1","2019-12-12"
"용산구","(이촌동 300-10 신한은행 앞)","방범","37.518213","126.979097","1","2019-12-12"
"용산구","(이촌동 300-10 신한은행 앞)","방범","37.518213","126.979097","1","2019-12-12"
"용산구","(이촌동 402 강촌아파트 101동 앞)","방범","37.518925","126.977080","1","2019-12-12"
"용산구","(이촌동 301-61 현대아파트 110동 놀이터 앞)","방범","37.518955","126.979465","2","2019-12-12"
"용산구","(서빙고동 241-5 서빙고역 육교)","방범","37.518981","126.989554","1","2019-12-12"
"용산구","(이촌동 300-166 한강맨션 15동 옆)","방범","37.519115","126.971749","1","2019-12-12"
"용산구","(이촌동 403 강촌아파트 105동 옆)","방범","37.519214","126.978575","1","2019-12-12"
"용산구","(서빙고동 271-36 철길지나 마을입구)","방범","37.519415","126.991457","1","2019-12-12"
"용산구","(서빙고동 271-36 철길 지나 마을입구)","방범","37.519505","126.99264","4","2019-12-12"
"용산구","(이촌동 300-23 신용산초교 앞)","방범","37.519603","126.974714","1","2019-12-12"
"용산구","(이촌동 300-23 신용산초교 앞)","방범","37.519603","126.974714","1","2019-12-12"
"용산구","(이촌동 432 LG자이아파트 105동 출구)","방범","37.519649","126.970023","1","2019-12-12"
"용산구","(이촌동 301-54 한가람유치원)","방범","37.519680","126.980594","1","2019-12-12"
"용산구","(이촌동 419 사촌1길 진입로)","방범","37.519922","126.966975","1","2019-12-12"
"용산구","(이촌동 302-64 장미맨션 입구)","방범","37.520185","126.968263","2","2019-12-12"
"용산구","(이촌동 302-55 동부아파트 1동 담장)","방범","37.520235","126.969203","1","2019-12-12"
"용산구","(이촌동 412-1 한강천주교 입구)","방범","37.520297","126.977005","1","2019-12-12"
"용산구","(서빙고동 195-2 (서빙고로59길 7) CGVTV 뒷골목)","방범","37.520387","126.993226","1","2019-12-12"
"용산구","(서빙고동 195-2 (서빙고로59길 7) CGVTV 뒷골목)","방범","37.520398","126.993435","1","2019-12-12"
"용산구","(서빙고로59길 7 (서빙고동195-2) CGVTV 뒷골목)","방범","37.520398","126.993435","1","2019-12-12"
"용산구","(서빙고로59길 7)","방범","37.520723","126.995252","1","2019-12-12"
"용산구","(서빙고로67길 7 (서빙고동 122-6))","방범","37.520723","126.995252","2","2019-12-12"
"용산구","(서빙고동 122-6 (서빙고로67길 7))","방범","37.520874","126.995152","2","2019-12-12"
"용산구","(서빙고로67길 7 (서빙고동 122-6))","방범","37.520874","126.995152","1","2019-12-12"
"용산구","(이촌동 302-75 대한의사협회 앞)","방범","37.520969","126.966012","1","2019-12-12"
"용산구","(이촌동 399 충신교회 건너편)","방범","37.521030","126.971741","1","2019-12-12"
"용산구","(이촌동 이촌지구대 골목길)","방범","37.521030","126.971741","1","2019-12-12"
"용산구","(서빙고로73길 61 (동빙고동 107-2) 빗물펌프장 사거리)","방범","37.521082","126.996179","3","2019-12-12"
"용산구","(서빙고로73길 61(동빙고동 165-4) 빗물펌프장 사거리)","방범","37.521082","126.996179","1","2019-12-12"
"용산구","(이촌동 407-1 한가람아파트 214동 입구)","방범","37.521161","126.974431","1","2019-12-12"
"용산구","(이촌동 407-1 한가람아파트 214동 입구)","방범","37.521161","126.974431","1","2019-12-12"
"용산구","(이촌동 409 충신유치원 앞)","방범","37.521208","126.972886","1","2019-12-12"
"용산구","(이촌1동 302-28 타워맨션 입구)","방범","37.521318","126.964977","2","2019-12-12"
"용산구","(동빙고동 106-1 한간상회 앞)","방범","37.521322","126.996546","1","2019-12-12"
"용산구","(서빙고로73길 61(동빙고동 107-2) 빗물펌프장 사거리)","방범","37.521322","126.996546","3","2019-12-12"
"용산구","(이촌동 301-179 동주민센터 앞)","방범","37.521567","126.972929","1","2019-12-12"
"용산구","(서빙고동 110 두란노 앞 지하보도 내)","방범","37.521615","126.993829","1","2019-12-12"
"용산구","(이촌동 301-78 용강중학교 옆)","방범","37.521662","126.975443","1","2019-12-12"
